iter	Passed	Remaining
847	1237	221
848	1239	220
849	1240	218
850	1242	217
851	1243	215
852	1244	214
853	1246	213
854	1247	211
855	1248	210
856	1250	208
857	1251	207
858	1252	205
859	1253	204
860	1255	202
861	1256	201
862	1258	199
863	1259	198
864	1260	196
865	1262	195
866	1263	193
867	1265	192
868	1266	190
869	1267	189
870	1269	187
871	1270	186
872	1271	185
873	1273	183
874	1274	182
875	1275	180
876	1277	179
877	1278	177
878	1279	176
879	1281	174
880	1282	173
881	1283	171
882	1284	170
883	1286	168
884	1287	167
885	1288	165
886	1290	164
887	1292	162
888	1293	161
889	1294	160
890	1296	158
891	1297	157
892	1298	155
893	1300	154
894	1301	152
895	1302	151
896	1304	149
897	1305	148
898	1307	146
899	1308	145
900	1309	143
901	1311	142
902	1312	141
903	1314	139
904	1315	138
905	1316	136
906	1318	135
907	1319	133
908	1320	132
909	1322	130
910	1323	129
911	1325	127
912	1326	126
913	1328	124
914	1329	123
915	1331	122
916	1332	120
917	1333	119
918	1335	117
919	1336	116
920	1337	114
921	1338	113
922	1340	111
923	1341	110
924	1342	108
925	1344	107
926	1345	105
927	1347	104
928	1348	103
929	1350	101
930	1351	100
931	1353	98
932	1354	97
933	1355	95
934	1357	94
935	1358	92
936	1360	91
937	1361	90
938	1363	88
939	1364	87
940	1366	85
941	1367	84
942	1368	82
943	1370	81
944	1371	79
945	1373	78
946	1375	76
947	1376	75
948	1377	74
949	1379	72
950	1381	71
951	1382	69
952	1384	68
953	1385	66
954	1387	65
955	1388	63
956	1389	62
957	1390	60
958	1392	59
959	1393	58
960	1395	56
961	1396	55
962	1397	53
963	1399	52
964	1400	50
965	1402	49
966	1403	47
967	1405	46
968	1406	45
969	1408	43
970	1409	42
971	1410	40
972	1412	39
973	1413	37
974	1414	36
975	1416	34
976	1417	33
977	1418	31
978	1419	30
979	1421	29
980	1422	27
981	1423	26
982	1425	24
983	1426	23
984	1427	21
985	1429	20
986	1430	18
987	1432	17
988	1433	15
989	1434	14
990	1436	13
991	1437	11
992	1438	10
993	1440	8
994	1441	7
995	1442	5
996	1444	4
997	1445	2
998	1446	1
999	1448	0
